Villes;Vendargues;Montpellier est;Montpellier sud;Montpellier ouest;St-Jean-de-Vedas;Peage de Montpellier St-Jean;Sete;Agde Pezenas;Peage de Beziers-Cabrials;Beziers ouest;Narbonne est ;Narbonne sud;Sigean ;Leucate;Perpignan nord;Perpignan sud;Le Boulou  (peage sys ferme);Peage du Perthus;Le Boulou (peage sys ouvert);Frontiere Espagnole;Lezignan;Carcassonne est;Carcassonne ouest;Bram;Castelnaudary;Villefranche-de-Lauragais;Nailloux;Mazeres-Saverdun;Peage de pamiers;Pamiers nord;Pamiers sud;Montgiscard;Peage de Toulouse sud/ouest;Le palays;Peage de Toulouse sud/est;Montaudran;Lasbordes;Soupetrad;La Roseraie;La Croix Daurade;Borderouge;Les lzards;Sesquieres
Narbonne est ;8.4;8.4;8.4;8.4;8.4;8.4;5.6;3.3;2.7;2;0;0.4;1.9;2.6;5;6.1;8.8;9.6;;9.6;2.4;5.4;6.2;8.8;10.2;12;12.5;14.5;14.9;14.9;14.9;13.1;14.9;14.9;15.5;15.5;15.5;15.5;15.5;15.5;15.5;15.5;15.5
Narbonne sud;8.5;8.5;8.5;8.5;8.5;8.5;5.7;3.4;2.8;2.1;0.4;0;1.5;2.2;4.2;5.4;7.5;9.2;;9.2;1.8;4.4;5.2;7.8;9.1;10.7;11.6;13.8;14.6;14.6;14.6;11.8;13.9;13.9;14.5;14.5;14.5;14.5;14.5;14.5;14.5;14.5;14.5
Sigean ;10.6;10.6;10.6;10.6;10.6;10.6;8.5;5.7;4.1;3.6;1.9;1.5;0;0.7;3.1;3.7;5.9;7.1;;7.1;2.9;6.2;7.5;9.4;10.2;12.4;13.2;14.8;15.5;15.5;15.5;13.6;15;15;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6;15.6
Leucate;11.5;11.5;11.5;11.5;11.5;11.5;9.1;6.7;5.9;4.1;2.6;2.2;0.7;0;1.9;2.9;4.7;5.9;;5.9;3.4;7.2;8.1;10;11.5;13;14.1;15.6;16.4;16.4;16.4;14.3;16;16;16.6;16.6;16.6;16.6;16.6;16.6;16.6;16.6;16.6
Perpignan nord;14.9;14.9;14.9;14.9;14.9;14.9;11.9;9.5;9.2;7.7;5;4.2;3.1;1.9;0;1;2.5;3.1;;3.1;6.9;10.3;10.6;12.4;13.9;15.7;16.6;18.1;18.7;18.7;18.7;16.5;18.8;18.8;19.4;19.4;19.4;19.4;19.4;19.4;19.4;19.4;19.4
Perpignan sud;15.2;15.2;15.2;15.2;15.2;15.2;12.3;9.7;9.3;8.4;6.1;5.4;3.7;2.9;1;0;1.5;2.6;;2.6;7.6;10.9;11.4;13.8;14;16.6;17.1;18.5;19.2;19.2;19.2;17.5;18.9;18.9;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5
Le Boulou  (peage sys ferme);17.1;17.1;17.1;17.1;17.1;17.1;15;12.1;11.8;10.3;8.8;7.5;5.9;4.7;2.5;1.5;0;;;;9;12.9;13.8;15.7;16.5;18.5;20;20.6;21;21;21;20;21.6;21.6;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2
Peage du Perthus;18.8;18.8;18.8;18.8;18.8;18.8;16.2;13.8;13.5;11.8;9.6;9.2;7.1;5.9;3.1;2.6;;0;;;10.3;14.2;14.3;16.8;17.9;20.2;20.7;21.6;22;22;22;21.2;22.7;22.7;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3
Le Boulou (peage sys ouvert); ;;;;;;;;;;;;;;;;;;0;0.8;;;;;;;;;;;;;;;;;;;;;;;
Frontiere Espagnole;18.8;18.8;18.8;18.8;18.8;18.8;16.2;13.8;13.5;11.8;9.6;9.2;7.1;5.9;3.1;2.6;;;0.8;0;10.3;14.2;14.3;16.8;17.9;20.2;20.7;20.6;22;22;22;21.2;22.7;22.7;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3
Lezignan;10.8;10.8;10.8;10.8;10.8;10.8;8.6;6;4.1;3.4;2.4;1.8;2.9;3.4;6.9;7.6;9;10.3;;10.3;0;2.4;3.4;5.1;6.4;8.4;9.4;11.3;12.5;12.5;12.5;9.1;11.3;11.3;11.9;11.9;11.9;11.9;11.9;11.9;11.9;11.9;11.9
Carcassonne est;14.7;14.7;14.7;14.7;14.7;14.7;12;9.5;8.1;7.4;5.4;4.4;6.2;7.2;10.3;10.9;12.9;14.2;;14.2;2.4;0;0.7;2.5;3.8;5.5;7.2;8.6;10;10;10;6.6;9.1;9.1;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7
Carcassonne ouest;15.1;15.1;15.1;15.1;15.1;15.1;12.6;10.4;9.1;8.1;6.2;5.2;7.5;8.1;10.6;11.4;13.8;14.3;;14.3;3.4;0.7;0;1.7;2.8;4.6;6;8;8.6;8.6;8.6;5.8;8;8;8.6;8.6;8.6;8.6;8.6;8.6;8.6;8.6;8.6
Bram;17.2;17.2;17.2;17.2;17.2;17.2;15.3;12.8;10.8;10;8.8;7.8;9.4;10;12.4;13.8;15.7;16.8;;16.8;5.1;2.5;1.7;0;1.3;3.2;4.4;6.1;7.5;7.5;7.5;4.3;5.4;5.4;6;6;6;6;6;6;6;6;6
Castelnaudary;18.3;18.3;18.3;18.3;18.3;18.3;15.8;13.7;12.1;11.1;10.2;9.1;10.2;11.5;13.9;14;16.5;17.9;;17.9;6.4;3.8;2.8;1.3;0;2;3.3;4.9;6;6;6;3.2;4.2;4.2;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8
Villefranche-de-Lauragais;20.3;20.3;20.3;20.3;20.3;20.3;18.5;15.9;14.1;13.4;12;10.7;12.4;13;15.7;16.6;18.5;20.2;;20.2;8.4;5.5;4.6;3.2;2;0;0.9;2.8;4.2;4.2;4.2;1;2;2;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.4
Nailloux;20.5;20.5;20.5;20.5;20.5;20.5;19.3;16.3;15;13.8;12.5;11.6;13.2;14.1;16.6;17.1;20;20.7;;20.7;9.4;7.2;6;4.4;3.3;0.9;0;1.7;3.4;3.4;3.4;1;2.4;2.4;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8
Mazeres-Saverdun;22;22;22;22;22;22;20;18.4;16.9;15.8;14.5;13.8;14.8;15.6;18.1;18.5;20.6;21.6;;20.6;11.3;8.6;8;6.1;4.9;2.8;1.7;0;1.1;1.1;1.1;3;4.4;4.4;5;5;5;5;5;5;5;5;5
Peage de pamiers;23.7;23.7;23.7;23.7;23.7;23.7;20.7;18.6;17.6;16.6;14.9;14.6;15.5;16.4;18.7;19.2;21;22;;22;12.5;10;8.6;7.5;6;4.2;3.4;1.1;0;;;4.5;5.5;5.5;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1
Pamiers nord;23.7;23.7;23.7;23.7;23.7;23.7;20.7;18.6;17.6;16.6;14.9;14.6;15.5;16.4;18.7;19.2;21;22;;22;12.5;10;8.6;7.5;6;4.2;3.4;1.1;;0;;4.5;5.5;5.5;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1
Pamiers sud;23.7;23.7;23.7;23.7;23.7;23.7;20.7;18.6;17.6;16.6;14.9;14.6;15.5;16.4;18.7;19.2;21;22;;22;12.5;10;8.6;7.5;6;4.2;3.4;1.1;;;0;4.5;5.5;5.5;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1
